"attack_id","attack_name","attack_type","attack_target","target_attribute","target_type","attack_value_type","attack_value","attack_effect_turn","attack_effect_value","attack_effect_value_type","pallet_change"
"1","0","1","99","0","0","2","100","0","0","0","0"
"2","メテオ","2","99","0","0","9","500","0","0","0","0"
"3","毒の息","4","11","0","0","0","0","3","100","5","0"
"4","猛毒の息","4","15","0","0","9","100","3","50","5","0"
"5","神封じ","5","15","0","1","0","0","3","0","0","0"
"6","ヒール","103","0","0","0","0","0","0","30","1","0"
"7","ヒーラー","103","5","0","0","0","0","0","30","1","0"
"8","メガヒール","103","0","0","0","0","0","0","50","1","0"
"9","ギガヒール","103","5","0","0","0","0","0","50","1","0"
"10","インフィニットヒール","103","0","0","0","0","0","0","100","1","0"
"11","アブソリュートヒール","103","5","0","0","0","0","0","100","1","0"
"12","バインド","5","11","0","0","0","0","2","0","0","0"
"13","フルバインド","5","15","0","0","0","0","2","0","0","0"
"14","ダブルバインド","5","12","0","0","0","0","2","0","0","0"
"15","トリプルバインド","5","13","0","0","0","0","2","0","0","0"
"16","光の加護","101","0","0","0","0","0","3","150","2","0"
"17","闇の加護","101","0","0","0","0","0","3","180","2","0"
"18","ヒートアップ","101","0","0","0","0","0","2","250","2","0"
"19","バーサーク","101","0","0","0","0","0","1","400","2","0"
"20","光の盾","102","15","0","0","9","2000","2","0","0","0"
"21","天使の盾","102","15","0","0","9","5000","2","0","0","0"
"22","大精霊の盾","102","15","0","0","9","10000","2","0","0","0"
"23","状態異常回復","104","0","0","0","0","0","0","0","0","0"
"24","気合の一撃","1","99","0","0","2","160","0","0","0","0"
"25","渾身の一撃","1","99","0","0","2","250","0","0","0","0"
"100","ドロップしたオトギは編成でチームに入れてね","900","99","0","0","0","0","0","0","0","0"
"101","フワフワしている……","900","99","0","0","0","0","0","0","0","0"
"102","きみと、たたかう！ケラケラケラ……","900","99","0","0","0","0","0","0","0","0"
"201","あーした天気に、なあレ……♪","900","99","0","0","0","0","0","0","0","0"
"202","僕と遊ぼ、遊ぼー！","900","99","0","0","0","0","0","0","0","0"
"203","ここは簡単には通してやらないんだからあ……！","900","99","0","0","0","0","0","0","0","0"
"204","ううっ……反撃してやるぅ……","900","99","0","0","0","0","0","0","0","0"
"205","恨みの一撃","2","99","0","0","9","1200","0","0","0","0"
"301","雨、アメ、降れ、降レ……まちがえタ？","900","99","0","0","0","0","0","0","0","0"
"302","鬼ごっこしようー？君が鬼だよ！","900","99","0","0","0","0","0","0","0","0"
"303","立ちはだかるは海坊主なのだぁー","900","99","0","0","0","0","0","0","0","0"
"401","晴れタ、晴れた……ヨ？","900","99","0","0","0","0","0","0","0","0"
"402","ねぇねぇ、僕と遊ぶー？遊ぶよねー？","900","99","0","0","0","0","0","0","0","0"
"403","オトギの世界はどう？楽しんでるかしら？","900","99","0","0","0","0","0","0","0","0"
"501","ぼくと、たたかう！ケラケラケラ……","900","99","0","0","0","0","0","0","0","0"
"502","さあ、君の力を見せて！","900","99","0","0","0","0","0","0","0","0"
"503","ガギィーーン！ココ、通サナイ！","900","99","0","0","0","0","0","0","0","0"
"504","ガギギィーーン！オレト、勝負シロ！！","900","99","0","0","0","0","0","0","0","0"
"601","洞窟……雨……降らない……ヨ♪","900","99","0","0","0","0","0","0","0","0"
"602","フンフンフーーン？探検家さんかい？","900","99","0","0","0","0","0","0","0","0"
"603","ふふっ、目が合っちゃったね……勝負だよ","900","99","0","0","0","0","0","0","0","0"
"604","君ともっと戦いたい！","900","99","0","0","0","0","0","0","0","0"
"701","きみもお散歩？ぼくもだよ！","900","99","0","0","0","0","0","0","0","0"
"702","そこにお豆が落ちてるの、踏まないで！","900","99","0","0","0","0","0","0","0","0"
"703","勝負って、わくわくしちゃうよね！","900","99","0","0","0","0","0","0","0","0"
"704","私の本気！いっくよーー！","900","99","0","0","0","0","0","0","0","0"
"801","木がいっぱいー！かくれんぼしよー？","900","99","0","0","0","0","0","0","0","0"
"802","踊りの練習中さ、見ないでよね！","900","99","0","0","0","0","0","0","0","0"
"803","こんな森の奥へ、何用ですかな？","900","99","0","0","0","0","0","0","0","0"
"804","森を荒らすつもりなら、わしが許しませんぞ","900","99","0","0","0","0","0","0","0","0"
"901","雨って気持ちいいよね？","900","99","0","0","0","0","0","0","0","0"
"902","お豆をこぼしちゃったから、ふまないで！","900","99","0","0","0","0","0","0","0","0"
"903","夢の世界へご案内だ！","900","99","0","0","0","0","0","0","0","0"
"904","ししししっ、迷子になりに来たのか？","900","99","0","0","0","0","0","0","0","0"
"905","出口が知りたけりゃ、ボクと勝負だ！","900","99","0","0","0","0","0","0","0","0"
"1000",,"0","99","0","0","0","0","0","0","0","0"
"1001","んー？なんで人間がここにいるんだ？","900","99","0","0","0","0","0","0","0","0"
"1002","フフフー……久方ぶりのお客様ですねぇ","900","99","0","0","0","0","0","0","0","0"
"1003","おいら、勇敢な戦士！おいら、戦う！！","900","99","0","0","0","0","0","0","0","0"
"1004","見かけない顔だな？探検中かい？","900","99","0","0","0","0","0","0","0","0"
"1005","どう？何か楽しい発見はあった？","900","99","0","0","0","0","0","0","0","0"
"1101","暑いのぉ、だれか水をくれんかのぉ","900","99","0","0","0","0","0","0","0","0"
"1102","私はただの狐ですよ","900","99","0","0","0","0","0","0","0","0"
"1103","おやおや、こんな場所まで何用かい？","900","99","0","0","0","0","0","0","0","0"
"1104","あなた、調子いいじゃない……恨んでやるぅ","900","99","0","0","0","0","0","0","0","0"
"1105","あなたが恨めしいの！クギ打ってやるわ！","900","99","0","0","0","0","0","0","0","0"
"1201","海坊主だぞーこわがれー","900","99","0","0","0","0","0","0","0","0"
"1202","ここからさきは行かせないよ","900","99","0","0","0","0","0","0","0","0"
"1203","はい、はい、ここの水は綺麗でしょう？","900","99","0","0","0","0","0","0","0","0"
"1204","またまた登場、海坊主なのだぁー","900","99","0","0","0","0","0","0","0","0"
"1205","ちょっとやる気出しちゃおうかなぁ？","900","99","0","0","0","0","0","0","0","0"
"1301","よく来たな、美味い餅食わしてやるぜ","900","99","0","0","0","0","0","0","0","0"
"1302","私に勝てると思ってるの？","900","99","0","0","0","0","0","0","0","0"
"1303","明るいからって油断しちゃだめだよ？","900","99","0","0","0","0","0","0","0","0"
"1304","あらいらっしゃい！クルミ食べる？","900","99","0","0","0","0","0","0","0","0"
"1305","すまんな、ここは通せないんだ","900","99","0","0","0","0","0","0","0","0"
"1401","真実が知りたければ、おいらを倒していくことだな","0","0","0","0","0","0","0","0","0","0"
"1402","まずは幻獣の谷に向かうことだ。","0","0","0","0","0","0","0","0","0","0"
"1403","僕に手こずるってちゃ、幻獣達にはあえないよ","0","0","0","0","2","100","0","0","0","0"
"4001",,"0","99","0","0","0","0","0","0","0","0"
"10000","2体バインド","5","12","0","0","2","0","2","0","0","0"
"10001","通常","1","99","0","0","2","100","0","0","0","0"
"10002","攻撃２倍","101","0","0","0","2","200","3","0","0","0"
"10003","通常","1","99","0","0","2","100","0","0","0","0"
"10004","50グラ","1","99","0","0","4","50","0","0","0","0"
"10005","吸収","6","99","0","0","6","100","0","0","0","0"
"10006","回復","103","0","0","0","9","100000","0","0","0","0"
"10007","吸収","6","99","0","0","2","100","0","0","0","0"
"11000","敵の先制攻撃！","1","99","0","0","2","100","0","0","0","0"
"11001","0","1","99","0","0","4","10","0","0","0","0"
"11002","0","1","99","0","0","4","20","0","0","0","0"
"11003","0","1","99","0","0","4","30","0","0","0","0"
"11004","0","1","99","0","0","4","40","0","0","0","0"
"11005","0","1","99","0","0","4","50","0","0","0","0"
"11006","0","1","99","0","0","4","60","0","0","0","0"
"11007","0","1","99","0","0","4","70","0","0","0","0"
"11008","0","1","99","0","0","4","80","0","0","0","0"
"11009","0","1","99","0","0","4","90","0","0","0","0"
"11010","0","1","99","0","0","4","100","0","0","0","0"
"11011","0","1","99","0","0","4","99","0","0","0","0"
"11012","敵の多段攻撃！","7","99","0","0","2","100","0","2","9","0"
"11013","敵の多段攻撃！","7","99","0","0","2","100","0","3","9","0"
"11014","敵の多段攻撃！","7","99","0","0","2","100","0","4","9","0"
"11015","敵の多段攻撃！","7","99","0","0","2","100","0","5","9","0"
"12001","敵の毒攻撃！","4","11","0","0","2","100","2","500","9","0"
"12002","敵の毒攻撃！","4","12","0","0","2","100","2","500","9","0"
"12003","敵の毒攻撃！","4","13","0","0","2","100","2","500","9","0"
"12004","敵の毒攻撃！","4","14","0","0","2","100","2","500","9","0"
"12005","敵の毒攻撃！","4","15","0","0","2","100","2","500","9","0"
"12101","敵の毒攻撃！","4","11","0","0","0","0","2","500","9","0"
"12102","敵の毒攻撃！","4","12","0","0","0","0","2","500","9","0"
"12103","敵の毒攻撃！","4","13","0","0","0","0","2","500","9","0"
"12104","敵の毒攻撃！","4","14","0","0","0","0","2","500","9","0"
"12105","敵の毒攻撃！","4","15","0","0","0","0","2","500","9","0"
"12345","敵の先制攻撃！","1","99","0","0","2","100","0","0","0","0"
"13001","敵の麻痺攻撃！","5","11","0","0","2","100","2","0","0","0"
"13002","敵の麻痺攻撃！","5","12","0","0","2","100","2","0","0","0"
"13003","敵の麻痺攻撃！","5","13","0","0","2","100","2","0","0","0"
"13004","敵の麻痺攻撃！","5","14","0","0","2","100","2","0","0","0"
"13005","敵の麻痺攻撃！","5","15","0","0","2","100","2","0","0","0"
"13101","敵の麻痺攻撃！","5","11","0","0","0","0","2","0","0","0"
"13102","敵の麻痺攻撃！","5","12","0","0","0","0","2","0","0","0"
"13103","敵の麻痺攻撃！","5","13","0","0","0","0","2","0","0","0"
"13104","敵の麻痺攻撃！","5","14","0","0","0","0","2","0","0","0"
"13105","敵の麻痺攻撃！","5","15","0","0","0","0","2","0","0","0"
"17002",,"1","99","0","0","4","45","0","0","0","0"
"17003",,"1","99","0","0","4","55","0","0","0","0"
"17004",,"1","99","0","0","4","40","0","0","0","0"
"17005",,"1","99","0","0","4","60","0","0","0","0"
"18001",,"1","99","0","0","4","50","0","0","0","0"
"18002",,"0","99","0","0","0","0","0","0","0","0"
"19001",,"1","99","0","0","4","50","0","0","0","0"
"19002",,"1","99","0","0","4","50","0","0","0","0"
"19003",,"1","99","0","0","4","60","0","0","0","0"
"19004","ここは通さぬ","1","99","0","0","4","50","0","0","0","0"
"19005","ここまでたどり着くとはな･･･","1","99","0","0","4","50","0","0","0","0"
"20001","ここは通しません","1","99","0","0","4","0","0","0","0","0"
"20002","あたいが相手だよ","1","99","0","0","4","50","0","0","0","0"
"20003","ガーッ ! !","1","99","0","0","4","55","0","0","0","0"
"20004","石に変えてあげるよ","1","99","0","0","4","55","0","0","0","0"
"20005","墓場にようこそ","1","99","0","0","4","55","0","0","0","0"
"21001","こんにちは","1","99","0","0","4","50","0","0","0","0"
"21002","遊ぼう、遊ぼう","1","99","0","0","4","50","0","0","0","0"
"21003","・・・・","1","99","0","0","4","50","0","0","0","0"
"21004","一緒に踊りましょ","1","99","0","0","4","50","0","0","0","0"
"21005","脱出できるかしら？","1","99","0","0","4","50","0","0","0","0"
"22001","一服どうぞ","1","99","0","0","4","50","0","0","0","0"
