1001,攻撃UP,自分の攻撃力20%UP,0,0,0,20,1,11,111,0,0,1,強化　攻撃　単体
1002,攻撃UP 中,自分の攻撃力40%UP,0,0,0,40,1,11,111,0,0,2,強化　攻撃　単体
1003,攻撃UP 大,自分の攻撃力60%UP,0,0,0,60,1,11,111,0,0,3,強化　攻撃　単体
1004,同属性攻撃UP,同属性の攻撃力5%UP,5,100,0,5,1,1,0,0,0,1,強化　攻撃　属性
1005,同属性攻撃UP 中,同属性の攻撃力10%UP,5,100,0,10,1,1,0,0,0,2,強化　攻撃　属性
1006,同属性攻撃UP 大,同属性の攻撃力15%UP,5,100,0,15,1,1,0,0,0,3,強化　攻撃　属性
1007,同タイプ攻撃UP,同タイプの攻撃力10%UP,5,0,100,10,1,1,0,0,0,1,強化　攻撃　タイプ
1008,同タイプ攻撃UP 中,同タイプの攻撃力15%UP,5,0,100,15,1,1,0,0,0,2,強化　攻撃　タイプ
1009,同タイプ攻撃UP 大,同タイプの攻撃力20%UP,5,0,100,20,1,1,0,0,0,3,強化　攻撃　タイプ
1010,神キラー,神に対して攻撃力100％UP,0,0,1,100,1,13,131,0,0,1,キラー　タイプ　神
1011,魔族キラー,魔族に対して攻撃力100％UP,0,0,2,100,1,13,131,0,0,1,キラー　タイプ　魔族
1012,獣人キラー,獣人に対して攻撃力100％UP,0,0,3,100,1,13,131,0,0,1,キラー　タイプ　獣人
1013,幻獣キラー,幻獣に対して攻撃力100％UP,0,0,4,100,1,13,131,0,0,1,キラー　タイプ　幻獣
1014,妖精キラー,妖精に対して攻撃力100％UP,0,0,5,100,1,13,131,0,0,1,キラー　タイプ　妖精
1015,あやかしキラー,あやかしに対して攻撃力100％UP,0,0,6,100,1,13,131,0,0,1,キラー　タイプ　あやかし
1016,戦士キラー,戦士に対して攻撃力100％UP,0,0,7,100,1,13,131,0,0,1,キラー　タイプ　戦士
1017,メルヘンキラー,メルヘンに対して攻撃力100％UP,0,0,8,100,1,13,131,0,0,1,キラー　タイプ　メルヘン
1018,火属性キラー,火属性に対して攻撃力50％UP,0,1,0,50,1,13,131,0,0,3,キラー　属性　火
1019,水属性キラー,水属性に対して攻撃力50％UP,0,2,0,50,1,13,131,0,0,3,キラー　属性　水
1020,風属性キラー,風属性に対して攻撃力50％UP,0,3,0,50,1,13,131,0,0,3,キラー　属性　風
1021,10消し攻撃UP,全員の攻撃力5%UP,5,0,0,5,1,12,121,10,0,1,条件　攻撃　同時　10
1022,10消し攻撃UP 中,全員の攻撃力10%UP,5,0,0,10,1,12,121,10,0,2,条件　攻撃　同時　10
1023,10消し攻撃UP 大,全員の攻撃力20%UP,5,0,0,20,1,12,121,10,0,3,条件　攻撃　同時　10
1024,15消し攻撃UP,全員の攻撃力20%UP,5,0,0,20,1,12,121,15,0,1,条件　攻撃　同時　15
1025,15消し攻撃UP 中,全員の攻撃力30%UP,5,0,0,30,1,12,121,15,0,2,条件　攻撃　同時　15
1026,15消し攻撃UP 大,全員の攻撃力40%UP,5,0,0,40,1,12,121,15,0,3,条件　攻撃　同時　15
1027,20消し攻撃UP,全員の攻撃力50%UP,5,0,0,50,1,12,121,20,0,1,条件　攻撃　同時　20
1028,20消し攻撃UP 中,全員の攻撃力60%UP,5,0,0,60,1,12,121,20,0,2,条件　攻撃　同時　20
1029,20消し攻撃UP 大,全員の攻撃力70%UP,5,0,0,70,1,12,121,20,0,3,条件　攻撃　同時　20
1030,全消し攻撃UP,全員の攻撃力100%UP,5,0,0,100,1,12,121,25,0,4,条件　攻撃　同時　全
1031,5コンボ攻撃UP,全員の攻撃力10%UP,5,0,0,10,1,12,122,5,0,1,条件　攻撃　コンボ　05
1032,5コンボ攻撃UP 中,全員の攻撃力20%UP,5,0,0,20,1,12,122,5,0,2,条件　攻撃　コンボ　05
1033,5コンボ攻撃UP 大,全員の攻撃力30%UP,5,0,0,30,1,12,122,5,0,3,条件　攻撃　コンボ　05
1034,8コンボ攻撃UP,全員の攻撃力20%UP,5,0,0,20,1,12,122,8,0,1,条件　攻撃　コンボ　08
1035,8コンボ攻撃UP 中,全員の攻撃力30%UP,5,0,0,30,1,12,122,8,0,2,条件　攻撃　コンボ　08
1036,8コンボ攻撃UP 大,全員の攻撃力40%UP,5,0,0,40,1,12,122,8,0,3,条件　攻撃　コンボ　08
1037,攻撃UP 特大,自分の攻撃力80%UP,0,0,0,80,1,11,111,0,0,4,強化　攻撃　単体
1038,同属性攻撃UP 特大,同属性の攻撃力20%UP,5,100,0,20,1,1,0,0,0,4,強化　攻撃　属性
1039,同タイプ攻撃UP 特大,同タイプの攻撃力25%UP,5,0,100,25,1,1,0,0,0,4,強化　攻撃　タイプ
1040,10消し攻撃UP 特大,全員の攻撃力30%UP,5,0,0,30,1,12,121,10,0,4,条件　攻撃　同時　10
1041,15消し攻撃UP 特大,全員の攻撃力50%UP,5,0,0,50,1,12,121,15,0,4,条件　攻撃　同時　15
1042,20消し攻撃UP 特大,全員の攻撃力80%UP,5,0,0,80,1,12,121,20,0,4,条件　攻撃　同時　20
1043,5コンボ攻撃UP 特大,全員の攻撃力40%UP,5,0,0,40,1,12,122,5,0,4,条件　攻撃　コンボ　05
1044,8コンボ攻撃UP 特大,全員の攻撃力50%UP,5,0,0,50,1,12,122,8,0,4,条件　攻撃　コンボ　08
1045,火属性キラー 大,火属性に対して攻撃力250％UP,0,1,0,250,1,13,131,0,0,5,キラー　属性　火
1046,水属性キラー 大,水属性に対して攻撃力250％UP,0,2,0,250,1,13,131,0,0,5,キラー　属性　水
1047,風属性キラー 大,風属性に対して攻撃力250％UP,0,3,0,250,1,13,131,0,0,5,キラー　属性　風
1048,幻獣キラー 中,幻獣に対して攻撃力200％UP,0,0,4,200,1,13,131,0,0,3,キラー　タイプ　幻獣
1049,妖精キラー 中,妖精に対して攻撃力200％UP,0,0,5,200,1,13,131,0,0,3,キラー　タイプ　妖精
1050,火属性キラー 中,火属性に対して攻撃力150％UP,0,1,0,150,1,13,131,0,0,4,キラー　属性　火
1051,水属性キラー 中,水属性に対して攻撃力150％UP,0,2,0,150,1,13,131,0,0,4,キラー　属性　水
1052,風属性キラー 中,風属性に対して攻撃力150％UP,0,3,0,150,1,13,131,0,0,4,キラー　属性　風
1053,5コンボ攻撃UP 特大,全員の攻撃力40%UP,5,0,0,40,1,12,122,5,0,4,条件　攻撃　コンボ　05
1054,攻撃UP 特大,自分の攻撃力80%UP,0,0,0,80,1,11,111,0,0,4,強化　攻撃　単体
1055,神キラー 大,神に対して攻撃力300％UP,0,0,1,300,1,13,131,0,0,5,キラー　タイプ　神
2001,火ダメージ軽減,火属性のダメージを4％軽減,5,1,0,4,2,23,0,0,0,2,軽減　火
2002,水ダメージ軽減,水属性のダメージを4％軽減,5,2,0,4,2,23,0,0,0,2,軽減　水
2003,風ダメージ軽減,風属性のダメージを4％軽減,5,3,0,4,2,23,0,0,0,2,軽減　風
3001,10消し回復,体力50回復,5,0,0,50,3,12,121,10,0,1,条件　回復　同時　10
3002,10消し回復 中,体力100回復,5,0,0,100,3,12,121,10,0,2,条件　回復　同時　10
3003,10消し回復 大,体力250回復,5,0,0,250,3,12,121,10,0,3,条件　回復　同時　10
3004,15消し回復,体力250回復,5,0,0,250,3,12,121,15,0,1,条件　回復　同時　15
3005,15消し回復 中,体力500回復,5,0,0,500,3,12,121,15,0,2,条件　回復　同時　15
3006,15消し回復 大,体力1000回復,5,0,0,1000,3,12,121,15,0,3,条件　回復　同時　15
3007,20消し回復,体力1000回復,5,0,0,1000,3,12,121,20,0,1,条件　回復　同時　20
3008,20消し回復 中,体力1500回復,5,0,0,1500,3,12,121,20,0,2,条件　回復　同時　20
3009,20消し回復 大,体力2000回復,5,0,0,2000,3,12,121,20,0,3,条件　回復　同時　20
3010,5コンボ回復,体力100回復,5,0,0,100,3,12,122,5,0,1,条件　回復　コンボ　05
3011,5コンボ回復 中,体力250回復,5,0,0,250,3,12,122,5,0,2,条件　回復　コンボ　05
3012,5コンボ回復 大,体力500回復,5,0,0,500,3,12,122,5,0,3,条件　回復　コンボ　05
3013,8コンボ回復,体力250回復,5,0,0,250,3,12,122,8,0,1,条件　回復　コンボ　08
3014,8コンボ回復 中,体力500回復,5,0,0,500,3,12,122,8,0,2,条件　回復　コンボ　08
3015,8コンボ回復 大,体力1000回復,5,0,0,1000,3,12,122,8,0,3,条件　回復　コンボ　08
3016,全消し回復,体力99999回復,5,0,0,99999,3,12,121,25,0,4,条件　回復　同時　全
3017,10消し回復 特大,体力500回復,5,0,0,500,3,12,121,10,0,4,条件　回復　同時　10
3018,15消し回復 特大,体力1500回復,5,0,0,1500,3,12,121,15,0,4,条件　回復　同時　15
3019,20消し回復 特大,体力2500回復,5,0,0,2500,3,12,121,20,0,4,条件　回復　同時　20
3020,5コンボ回復 特大,体力1000回復,5,0,0,1000,3,12,122,5,0,4,条件　回復　コンボ　05
3021,8コンボ回復 特大,体力1500回復,5,0,0,1500,3,12,122,8,0,4,条件　回復　コンボ　08
3022,5コンボ回復 特大,体力1000回復,5,0,0,1000,3,12,122,5,0,4,条件　回復　コンボ　05
4001,全体麻痺50%無効,味方全員の毒を50%無効,5,0,0,50,4,1,0,50,0,2,無効　全体　麻痺
4002,全体麻痺100%無効,味方全員の毒を100％無効,5,0,0,100,4,1,0,100,0,4,無効　全体　麻痺
5001,全体毒50%無効,味方全員の麻痺を50%無効,5,0,0,50,5,1,0,50,0,2,無効　全体　毒
5002,全体毒100%無効,味方全員の麻痺を100％無効,5,0,0,100,5,1,0,100,0,4,無効　全体　毒
6001,同属性体力UP,同属性の体力上限50UP,5,100,0,50,6,1,0,0,0,1,強化　体力　属性
6002,同属性体力UP 中,同属性の体力上限100UP,5,100,0,100,6,1,0,0,0,2,強化　体力　属性
6003,同属性体力UP 大,同属性の体力上限200UP,5,100,0,200,6,1,0,0,0,3,強化　体力　属性
6004,同タイプ体力UP,同タイプの体力上限100UP,5,0,100,100,6,1,0,0,0,1,強化　体力　タイプ
6005,同タイプ体力UP 中,同タイプの体力上限200UP,5,0,100,200,6,1,0,0,0,2,強化　体力　タイプ
6006,同タイプ体力UP 大,同タイプの体力上限400UP,5,0,100,400,6,1,0,0,0,3,強化　体力　タイプ
6007,同属性体力UP 特大,同属性の体力上限400UP,5,100,0,400,6,1,0,0,0,4,強化　体力　属性
6008,同タイプ体力UP 特大,同タイプの体力上限800UP,5,0,100,800,6,1,0,0,0,4,強化　体力　タイプ
7001,操作時間延長+5,操作時間5秒延長,0,0,0,5,7,11,111,0,0,5,特殊　操作時間
8001,スキル発動-2,バトル開始時スキルカウント-2,0,0,0,2,8,1,0,0,0,2,特殊　スキル
