"level","exp","stamina_max","deck_count_max","friend_count_max"
"1","0","20","2","5"
"2","100","21","3","6"
"3","390","22","3","7"
"4","770","23","3","8"
"5","1220","24","3","9"
"6","1700","25","3","10"
"7","2240","26","3","10"
"8","3440","27","3","11"
"9","4810","28","3","11"
"10","6530","29","3","12"
"11","8610","30","3","12"
"12","11150","31","3","13"
"13","13890","32","3","13"
"14","17660","33","3","14"
"15","21950","34","3","14"
"16","27500","35","3","15"
"17","34500","36","3","15"
"18","41762","37","3","16"
"19","50680","38","3","16"
"20","60100","39","3","17"
"21","70340","40","3","17"
"22","82130","41","3","18"
"23","94000","42","3","18"
"24","106100","43","3","19"
"25","118500","44","3","19"
"26","132000","45","3","20"
"27","146000","46","3","20"
"28","160500","47","3","21"
"29","175500","48","3","21"
"30","191000","49","3","22"
"31","207000","50","3","22"
"32","223500","51","3","23"
"33","240500","52","3","23"
"34","258000","53","3","24"
"35","276000","54","3","24"
"36","294500","55","3","25"
"37","313500","56","3","25"
"38","333000","57","3","26"
"39","353000","58","3","26"
"40","373500","59","3","27"
"41","394500","60","3","27"
"42","416000","61","3","28"
"43","438000","62","3","28"
"44","460500","63","3","29"
"45","483500","64","3","29"
"46","507000","65","3","30"
"47","531000","66","3","30"
"48","555500","67","3","31"
"49","580500","68","3","31"
"50","606000","69","4","32"
"51","632000","70","4","32"
"52","658500","71","4","33"
"53","685500","72","4","33"
"54","713000","73","4","34"
"55","741000","74","4","34"
"56","769500","75","4","35"
"57","798500","76","4","35"
"58","828000","77","4","36"
"59","858000","78","4","36"
"60","888500","79","4","37"
"61","919500","80","4","37"
"62","951000","81","4","38"
"63","983000","82","4","38"
"64","1015500","83","4","39"
"65","1048500","84","4","39"
"66","1082000","85","4","40"
"67","1116000","86","4","40"
"68","1150500","87","4","41"
"69","1185500","88","4","41"
"70","1221000","89","4","42"
"71","1257000","90","4","42"
"72","1293500","91","4","43"
"73","1330500","92","4","43"
"74","1368000","93","4","44"
"75","1406000","94","4","44"
"76","1444500","95","4","45"
"77","1483500","96","4","45"
"78","1523000","97","4","46"
"79","1563000","98","4","46"
"80","1603500","99","4","47"
"81","1644500","100","4","47"
"82","1686000","100","4","48"
"83","1728000","101","4","48"
"84","1770500","101","4","49"
"85","1813500","102","4","49"
"86","1857000","102","4","50"
"87","1901000","103","4","50"
"88","1945500","103","4","50"
"89","1990500","104","4","50"
"90","2036000","104","4","50"
"91","2082000","105","4","50"
"92","2128500","105","4","50"
"93","2175500","106","4","50"
"94","2223000","106","4","50"
"95","2271000","107","4","50"
"96","2319500","107","4","50"
